"population","n_individuals","mean_Froh","median_Froh","sd_Froh","min_Froh","max_Froh"
"Cameroonian D. praehensilis",18,5.04602543173438e-05,5.42842905017916e-05,2.67528974326617e-05,9.4687636512119e-06,0.000116564425864607
"Cameroonian D. praehensilis x D. abyssinica",3,4.12293056791311e-05,3.26058629804232e-05,1.52887508009989e-05,3.22003719444338e-05,5.88816821125362e-05
"D. abyssinica x  D. rotundata",4,3.28009370463857e-05,2.51755137263472e-05,3.58586353654595e-05,0,8.08527207328483e-05
"D. rotundata",80,3.16713157346395e-05,2.71668034895708e-05,3.01154609154719e-05,0,0.000250240573447966
"D. abyssinica",29,2.84791508527399e-05,2.45157688515753e-05,1.72765237445013e-05,0,6.44774584091899e-05
"Western D. praehensilis x D. rotundata",7,2.20928424913544e-05,2.48905740794357e-05,1.2070216260168e-05,0,3.44404359378455e-05
"Western D. praehensilis",26,2.17542147233132e-05,1.8726014410678e-05,2.47074345111421e-05,0,0.000134333700614693
